Name,Team,Number,Position,Age,Height,Weight,Salary,Altura_em_Metros
J.J. Barea,Dallas Mavericks,5.0,PG,31.0,6-0,185.0,4290000.0,1.83
Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,6-9,200.0,1100602.0,2.06
Raymond Felton,Dallas Mavericks,2.0,PG,31.0,6-1,205.0,3950313.0,1.85
Devin Harris,Dallas Mavericks,34.0,PG,33.0,6-3,185.0,4053446.0,1.91
David Lee,Dallas Mavericks,42.0,PF,33.0,6-9,245.0,2085671.0,2.06
Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,6-5,220.0,16407500.0,1.96
JaVale McGee,Dallas Mavericks,11.0,C,28.0,7-0,270.0,1270964.0,2.13
Salah Mejri,Dallas Mavericks,50.0,C,29.0,7-2,245.0,525093.0,2.18
Dirk Nowitzki,Dallas Mavericks,41.0,PF,37.0,7-0,245.0,8333334.0,2.13
Zaza Pachulia,Dallas Mavericks,27.0,C,32.0,6-11,275.0,5200000.0,2.11
Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,6-10,230.0,15361500.0,2.08
Dwight Powell,Dallas Mavericks,7.0,PF,24.0,6-11,240.0,845059.0,2.11
Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,6-11,232.0,947276.0,2.11
Deron Williams,Dallas Mavericks,8.0,PG,31.0,6-3,200.0,5378974.0,1.91
Trevor Ariza,Houston Rockets,1.0,SF,30.0,6-8,215.0,8193030.0,2.03
Michael Beasley,Houston Rockets,8.0,SF,27.0,6-10,235.0,306527.0,2.08
Patrick Beverley,Houston Rockets,2.0,PG,27.0,6-1,185.0,6486486.0,1.85
Corey Brewer,Houston Rockets,33.0,SG,30.0,6-9,186.0,8229375.0,2.06
Clint Capela,Houston Rockets,15.0,PF,22.0,6-10,240.0,1242720.0,2.08
Sam Dekker,Houston Rockets,7.0,SF,22.0,6-9,230.0,1646400.0,2.06
Andrew Goudelock,Houston Rockets,0.0,PG,27.0,6-3,200.0,200600.0,1.91
James Harden,Houston Rockets,13.0,SG,26.0,6-5,220.0,15756438.0,1.96
Montrezl Harrell,Houston Rockets,35.0,PF,22.0,6-8,240.0,1000000.0,2.03
Dwight Howard,Houston Rockets,12.0,C,30.0,6-11,265.0,22359364.0,2.11
Terrence Jones,Houston Rockets,6.0,PF,24.0,6-9,252.0,2489530.0,2.06
K.J. McDaniels,Houston Rockets,32.0,SG,23.0,6-6,205.0,3189794.0,1.98
Donatas Motiejunas,Houston Rockets,20.0,PF,25.0,7-0,222.0,2288205.0,2.13
Josh Smith,Houston Rockets,5.0,C,30.0,6-9,225.0,947276.0,2.06
Jason Terry,Houston Rockets,31.0,SG,38.0,6-2,185.0,947276.0,1.88
Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,6-5,209.0,1404600.0,1.96
Tony Allen,Memphis Grizzlies,9.0,SG,34.0,6-4,213.0,5158539.0,1.93
Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,6-10,245.0,5000000.0,2.08
Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,6-7,226.0,3542500.0,2.01
Vince Carter,Memphis Grizzlies,15.0,SG,39.0,6-6,220.0,4088019.0,1.98
Mike Conley,Memphis Grizzlies,11.0,PG,28.0,6-1,175.0,9588426.0,1.85
Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,6-1,165.0,700902.0,1.85
Jordan Farmar,Memphis Grizzlies,4.0,PG,29.0,6-2,180.0,2839073.0,1.88
Marc Gasol,Memphis Grizzlies,33.0,C,31.0,7-1,255.0,19688000.0,2.16
JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,6-9,227.0,845059.0,2.06
P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,6-6,230.0,1201440.0,1.98
Jarell Martin,Memphis Grizzlies,10.0,PF,22.0,6-10,239.0,1230840.0,2.08
Ray McCallum,Memphis Grizzlies,5.0,PG,24.0,6-3,190.0,2839073.0,1.91
Xavier Munford,Memphis Grizzlies,14.0,PG,24.0,6-3,180.0,2839073.0,1.91
Zach Randolph,Memphis Grizzlies,50.0,PF,34.0,6-9,260.0,9638555.0,2.06
Lance Stephenson,Memphis Grizzlies,1.0,SF,25.0,6-5,230.0,9000000.0,1.96
Alex Stepheson,Memphis Grizzlies,35.0,PF,28.0,6-10,270.0,2839073.0,2.08
Brandan Wright,Memphis Grizzlies,34.0,PF,28.0,6-10,210.0,5464000.0,2.08
Alexis Ajinca,New Orleans Pelicans,42.0,C,28.0,7-2,248.0,4389607.0,2.18
Ryan Anderson,New Orleans Pelicans,33.0,PF,28.0,6-10,240.0,8500000.0,2.08
Omer Asik,New Orleans Pelicans,3.0,C,29.0,7-0,255.0,9213483.0,2.13
Luke Babbitt,New Orleans Pelicans,8.0,SF,26.0,6-9,225.0,1100602.0,2.06
Norris Cole,New Orleans Pelicans,30.0,PG,27.0,6-2,175.0,3036927.0,1.88
Dante Cunningham,New Orleans Pelicans,44.0,PF,29.0,6-8,230.0,2850000.0,2.03
Anthony Davis,New Orleans Pelicans,23.0,PF,23.0,6-10,253.0,7070730.0,2.08
Bryce Dejean-Jones,New Orleans Pelicans,31.0,SG,23.0,6-6,203.0,169883.0,1.98
Toney Douglas,New Orleans Pelicans,16.0,PG,30.0,6-2,195.0,1164858.0,1.88
James Ennis,New Orleans Pelicans,4.0,SF,25.0,6-7,210.0,845059.0,2.01
Tyreke Evans,New Orleans Pelicans,1.0,SG,26.0,6-6,220.0,10734586.0,1.98
Tim Frazier,New Orleans Pelicans,2.0,PG,25.0,6-1,170.0,845059.0,1.85
Alonzo Gee,New Orleans Pelicans,15.0,SF,29.0,6-6,225.0,1320000.0,1.98
Eric Gordon,New Orleans Pelicans,10.0,SG,27.0,6-4,215.0,15514031.0,1.93
Jordan Hamilton,New Orleans Pelicans,25.0,SG,25.0,6-7,220.0,1015421.0,2.01
Jrue Holiday,New Orleans Pelicans,11.0,PG,25.0,6-4,205.0,10595507.0,1.93
Orlando Johnson,New Orleans Pelicans,0.0,SG,27.0,6-5,220.0,55722.0,1.96
Kendrick Perkins,New Orleans Pelicans,5.0,C,31.0,6-10,270.0,947276.0,2.08
Quincy Pondexter,New Orleans Pelicans,20.0,SF,28.0,6-7,220.0,3382023.0,2.01
LaMarcus Aldridge,San Antonio Spurs,12.0,PF,30.0,6-11,240.0,19689000.0,2.11
Kyle Anderson,San Antonio Spurs,1.0,SF,22.0,6-9,230.0,1142880.0,2.06
Matt Bonner,San Antonio Spurs,15.0,C,36.0,6-10,235.0,947276.0,2.08
Boris Diaw,San Antonio Spurs,33.0,C,34.0,6-8,250.0,7500000.0,2.03
Tim Duncan,San Antonio Spurs,21.0,C,40.0,6-11,250.0,5250000.0,2.11
Manu Ginobili,San Antonio Spurs,20.0,SG,38.0,6-6,205.0,2814000.0,1.98
Danny Green,San Antonio Spurs,14.0,SG,28.0,6-6,215.0,10000000.0,1.98
Kawhi Leonard,San Antonio Spurs,2.0,SF,24.0,6-7,230.0,16407500.0,2.01
Boban Marjanovic,San Antonio Spurs,40.0,C,27.0,7-3,290.0,1200000.0,2.21
Kevin Martin,San Antonio Spurs,23.0,SG,33.0,6-7,199.0,200600.0,2.01
Andre Miller,San Antonio Spurs,24.0,PG,40.0,6-3,200.0,6875000.0,1.91
Patty Mills,San Antonio Spurs,8.0,PG,27.0,6-0,185.0,3578947.0,1.83
Tony Parker,San Antonio Spurs,9.0,PG,34.0,6-2,185.0,13437500.0,1.88
Jonathon Simmons,San Antonio Spurs,17.0,SG,26.0,6-6,195.0,525093.0,1.98
David West,San Antonio Spurs,30.0,PF,35.0,6-9,250.0,1499187.0,2.06
Kent Bazemore,Atlanta Hawks,24.0,SF,26.0,6-5,201.0,2000000.0,1.96
Tim Hardaway Jr.,Atlanta Hawks,10.0,SG,24.0,6-6,205.0,1304520.0,1.98
Kirk Hinrich,Atlanta Hawks,12.0,SG,35.0,6-4,190.0,2854940.0,1.93
Al Horford,Atlanta Hawks,15.0,C,30.0,6-10,245.0,12000000.0,2.08
Kris Humphries,Atlanta Hawks,43.0,PF,31.0,6-9,235.0,1000000.0,2.06
Kyle Korver,Atlanta Hawks,26.0,SG,35.0,6-7,212.0,5746479.0,2.01
Paul Millsap,Atlanta Hawks,4.0,PF,31.0,6-8,246.0,18671659.0,2.03
Mike Muscala,Atlanta Hawks,31.0,PF,24.0,6-11,240.0,947276.0,2.11
Lamar Patterson,Atlanta Hawks,13.0,SG,24.0,6-5,225.0,525093.0,1.96
Dennis Schroder,Atlanta Hawks,17.0,PG,22.0,6-1,172.0,1763400.0,1.85
Mike Scott,Atlanta Hawks,32.0,PF,27.0,6-8,237.0,3333333.0,2.03
Thabo Sefolosha,Atlanta Hawks,25.0,SF,32.0,6-7,220.0,4000000.0,2.01
Tiago Splitter,Atlanta Hawks,11.0,C,31.0,6-11,245.0,9756250.0,2.11
Walter Tavares,Atlanta Hawks,22.0,C,24.0,7-3,260.0,1000000.0,2.21
Jeff Teague,Atlanta Hawks,0.0,PG,27.0,6-2,186.0,8000000.0,1.88
Nicolas Batum,Charlotte Hornets,5.0,SG,27.0,6-8,200.0,13125306.0,2.03
Troy Daniels,Charlotte Hornets,30.0,SG,24.0,6-4,205.0,947276.0,1.93
Jorge Gutierrez,Charlotte Hornets,12.0,PG,27.0,6-3,189.0,189455.0,1.91
Tyler Hansbrough,Charlotte Hornets,50.0,PF,30.0,6-9,250.0,947276.0,2.06
Aaron Harrison,Charlotte Hornets,9.0,SG,21.0,6-6,210.0,525093.0,1.98
Spencer Hawes,Charlotte Hornets,0.0,PF,28.0,7-1,245.0,6110034.0,2.16
Al Jefferson,Charlotte Hornets,25.0,C,31.0,6-10,289.0,13500000.0,2.08
Frank Kaminsky III,Charlotte Hornets,44.0,C,23.0,7-0,240.0,2612520.0,2.13
Michael Kidd-Gilchrist,Charlotte Hornets,14.0,SF,22.0,6-7,232.0,6331404.0,2.01
Jeremy Lamb,Charlotte Hornets,3.0,SG,24.0,6-5,185.0,3034356.0,1.96
Courtney Lee,Charlotte Hornets,1.0,SG,30.0,6-5,200.0,5675000.0,1.96
Jeremy Lin,Charlotte Hornets,7.0,PG,27.0,6-3,200.0,2139000.0,1.91
Kemba Walker,Charlotte Hornets,15.0,PG,26.0,6-1,184.0,12000000.0,1.85
Marvin Williams,Charlotte Hornets,2.0,PF,29.0,6-9,237.0,7000000.0,2.06
Cody Zeller,Charlotte Hornets,40.0,C,23.0,7-0,240.0,4204200.0,2.13
Chris Bosh,Miami Heat,1.0,PF,32.0,6-11,235.0,22192730.0,2.11
Luol Deng,Miami Heat,9.0,SF,31.0,6-9,220.0,10151612.0,2.06
Goran Dragic,Miami Heat,7.0,PG,30.0,6-3,190.0,14783000.0,1.91
Gerald Green,Miami Heat,14.0,SF,30.0,6-7,205.0,947276.0,2.01
Udonis Haslem,Miami Heat,40.0,PF,36.0,6-8,235.0,2854940.0,2.03
Joe Johnson,Miami Heat,2.0,SF,34.0,6-7,240.0,261894.0,2.01
Tyler Johnson,Miami Heat,8.0,SG,24.0,6-4,186.0,845059.0,1.93
Josh McRoberts,Miami Heat,4.0,PF,29.0,6-10,240.0,5543725.0,2.08
Josh Richardson,Miami Heat,0.0,SG,22.0,6-6,200.0,525093.0,1.98
Amar'e Stoudemire,Miami Heat,5.0,PF,33.0,6-10,245.0,947276.0,2.08
Dwyane Wade,Miami Heat,3.0,SG,34.0,6-4,220.0,20000000.0,1.93
Briante Weber,Miami Heat,12.0,PG,23.0,6-2,165.0,2839073.0,1.88
Hassan Whiteside,Miami Heat,21.0,C,26.0,7-0,265.0,981348.0,2.13
Justise Winslow,Miami Heat,20.0,SF,20.0,6-7,225.0,2481720.0,2.01
Dorell Wright,Miami Heat,11.0,SF,30.0,6-9,205.0,2839073.0,2.06
Dewayne Dedmon,Orlando Magic,3.0,C,26.0,7-0,245.0,947276.0,2.13
Evan Fournier,Orlando Magic,10.0,SG,23.0,6-7,205.0,2288205.0,2.01
Aaron Gordon,Orlando Magic,0.0,PF,20.0,6-9,220.0,4171680.0,2.06
Mario Hezonja,Orlando Magic,23.0,SG,21.0,6-8,218.0,3741480.0,2.03
Ersan Ilyasova,Orlando Magic,7.0,PF,29.0,6-10,235.0,7900000.0,2.08
Brandon Jennings,Orlando Magic,55.0,PG,26.0,6-1,169.0,8344497.0,1.85
Devyn Marble,Orlando Magic,11.0,SF,23.0,6-6,200.0,845059.0,1.98
Shabazz Napier,Orlando Magic,13.0,PG,24.0,6-1,175.0,1294440.0,1.85
Andrew Nicholson,Orlando Magic,44.0,PF,26.0,6-9,250.0,2380593.0,2.06
Victor Oladipo,Orlando Magic,5.0,SG,24.0,6-4,210.0,5192520.0,1.93
Elfrid Payton,Orlando Magic,4.0,PG,22.0,6-4,185.0,2505720.0,1.93
Jason Smith,Orlando Magic,14.0,PF,30.0,7-0,240.0,4300000.0,2.13
Nikola Vucevic,Orlando Magic,9.0,C,25.0,7-0,260.0,11250000.0,2.13
C.J. Watson,Orlando Magic,32.0,PG,32.0,6-2,175.0,5000000.0,1.88
Alan Anderson,Washington Wizards,6.0,SG,33.0,6-6,220.0,4000000.0,1.98
Bradley Beal,Washington Wizards,3.0,SG,22.0,6-5,207.0,5694674.0,1.96
Jared Dudley,Washington Wizards,1.0,SF,30.0,6-7,225.0,4375000.0,2.01
Jarell Eddie,Washington Wizards,8.0,SG,24.0,6-7,218.0,561716.0,2.01
Drew Gooden,Washington Wizards,90.0,PF,34.0,6-10,250.0,3300000.0,2.08
Marcin Gortat,Washington Wizards,13.0,C,32.0,6-11,240.0,11217391.0,2.11
JJ Hickson,Washington Wizards,21.0,C,27.0,6-9,242.0,273038.0,2.06
Nene Hilario,Washington Wizards,42.0,C,33.0,6-11,250.0,13000000.0,2.11
Markieff Morris,Washington Wizards,5.0,PF,26.0,6-10,245.0,8000000.0,2.08
Kelly Oubre Jr.,Washington Wizards,12.0,SF,20.0,6-7,205.0,1920240.0,2.01
Otto Porter Jr.,Washington Wizards,22.0,SF,23.0,6-8,198.0,4662960.0,2.03
Ramon Sessions,Washington Wizards,7.0,PG,30.0,6-3,190.0,2170465.0,1.91
Garrett Temple,Washington Wizards,17.0,SG,30.0,6-6,195.0,1100602.0,1.98
Marcus Thornton,Washington Wizards,15.0,SF,29.0,6-4,205.0,200600.0,1.93
John Wall,Washington Wizards,2.0,PG,25.0,6-4,195.0,15851950.0,1.93
Darrell Arthur,Denver Nuggets,0.0,PF,28.0,6-9,235.0,2814000.0,2.06
D.J. Augustin,Denver Nuggets,12.0,PG,28.0,6-0,183.0,3000000.0,1.83
Will Barton,Denver Nuggets,5.0,SF,25.0,6-6,175.0,3533333.0,1.98
Wilson Chandler,Denver Nuggets,21.0,SF,29.0,6-8,225.0,10449438.0,2.03
Kenneth Faried,Denver Nuggets,35.0,PF,26.0,6-8,228.0,11235955.0,2.03
Danilo Gallinari,Denver Nuggets,8.0,SF,27.0,6-10,225.0,14000000.0,2.08
Gary Harris,Denver Nuggets,14.0,SG,21.0,6-4,210.0,1584480.0,1.93
Nikola Jokic,Denver Nuggets,15.0,C,21.0,6-10,250.0,1300000.0,2.08
Joffrey Lauvergne,Denver Nuggets,77.0,C,24.0,6-11,220.0,1709719.0,2.11
Mike Miller,Denver Nuggets,3.0,SG,36.0,6-8,218.0,947276.0,2.03
Emmanuel Mudiay,Denver Nuggets,0.0,PG,20.0,6-5,200.0,3102240.0,1.96
Jameer Nelson,Denver Nuggets,1.0,PG,34.0,6-0,190.0,4345000.0,1.83
Jusuf Nurkic,Denver Nuggets,23.0,C,21.0,7-0,280.0,1842000.0,2.13
JaKarr Sampson,Denver Nuggets,9.0,SG,23.0,6-9,214.0,258489.0,2.06
Axel Toupane,Denver Nuggets,6.0,SG,23.0,6-7,210.0,2839073.0,2.01
Nemanja Bjelica,Minnesota Timberwolves,88.0,PF,28.0,6-10,240.0,3950001.0,2.08
Gorgui Dieng,Minnesota Timberwolves,5.0,C,26.0,6-11,241.0,1474440.0,2.11
Kevin Garnett,Minnesota Timberwolves,21.0,PF,40.0,6-11,240.0,8500000.0,2.11
Tyus Jones,Minnesota Timberwolves,1.0,PG,20.0,6-2,195.0,1282080.0,1.88
Zach LaVine,Minnesota Timberwolves,8.0,PG,21.0,6-5,189.0,2148360.0,1.96
Shabazz Muhammad,Minnesota Timberwolves,15.0,SF,23.0,6-6,223.0,2056920.0,1.98
Adreian Payne,Minnesota Timberwolves,33.0,PF,25.0,6-10,237.0,1938840.0,2.08
Nikola Pekovic,Minnesota Timberwolves,14.0,C,30.0,6-11,307.0,12100000.0,2.11
Tayshaun Prince,Minnesota Timberwolves,12.0,SF,36.0,6-9,212.0,947276.0,2.06
Ricky Rubio,Minnesota Timberwolves,9.0,PG,25.0,6-4,194.0,12700000.0,1.93
Damjan Rudez,Minnesota Timberwolves,10.0,SF,29.0,6-9,230.0,1149500.0,2.06
Greg Smith,Minnesota Timberwolves,4.0,PF,25.0,6-10,250.0,2839073.0,2.08
Karl-Anthony Towns,Minnesota Timberwolves,32.0,C,20.0,7-0,244.0,5703600.0,2.13
Andrew Wiggins,Minnesota Timberwolves,22.0,SG,21.0,6-8,199.0,5758680.0,2.03
Steven Adams,Oklahoma City Thunder,12.0,C,22.0,7-0,255.0,2279040.0,2.13
Nick Collison,Oklahoma City Thunder,4.0,PF,35.0,6-10,255.0,3750000.0,2.08
Kevin Durant,Oklahoma City Thunder,35.0,SF,27.0,6-9,240.0,20158622.0,2.06
Randy Foye,Oklahoma City Thunder,6.0,SG,32.0,6-4,213.0,3135000.0,1.93
Josh Huestis,Oklahoma City Thunder,34.0,SF,24.0,6-7,230.0,1140240.0,2.01
Serge Ibaka,Oklahoma City Thunder,9.0,PF,26.0,6-10,245.0,12250000.0,2.08
Enes Kanter,Oklahoma City Thunder,11.0,C,24.0,6-11,245.0,16407500.0,2.11
Mitch McGary,Oklahoma City Thunder,33.0,PF,24.0,6-10,255.0,1463040.0,2.08
Nazr Mohammed,Oklahoma City Thunder,13.0,C,38.0,6-10,250.0,222888.0,2.08
Anthony Morrow,Oklahoma City Thunder,2.0,SG,30.0,6-5,210.0,3344000.0,1.96
Cameron Payne,Oklahoma City Thunder,22.0,PG,21.0,6-3,185.0,2021520.0,1.91
Andre Roberson,Oklahoma City Thunder,21.0,SG,24.0,6-7,210.0,1210800.0,2.01
Kyle Singler,Oklahoma City Thunder,5.0,SF,28.0,6-8,228.0,4500000.0,2.03
Dion Waiters,Oklahoma City Thunder,3.0,SG,24.0,6-4,220.0,5138430.0,1.93
Russell Westbrook,Oklahoma City Thunder,0.0,PG,27.0,6-3,200.0,16744218.0,1.91
Cliff Alexander,Portland Trail Blazers,34.0,PF,20.0,6-8,240.0,525093.0,2.03
Al-Farouq Aminu,Portland Trail Blazers,8.0,SF,25.0,6-9,215.0,8042895.0,2.06
Pat Connaughton,Portland Trail Blazers,5.0,SG,23.0,6-5,206.0,625093.0,1.96
Allen Crabbe,Portland Trail Blazers,23.0,SG,24.0,6-6,210.0,947276.0,1.98
Ed Davis,Portland Trail Blazers,17.0,C,27.0,6-10,240.0,6980802.0,2.08
Maurice Harkless,Portland Trail Blazers,4.0,SF,23.0,6-9,215.0,2894059.0,2.06
Gerald Henderson,Portland Trail Blazers,9.0,SG,28.0,6-5,215.0,6000000.0,1.96
Chris Kaman,Portland Trail Blazers,35.0,C,34.0,7-0,265.0,5016000.0,2.13
Meyers Leonard,Portland Trail Blazers,11.0,PF,24.0,7-1,245.0,3075880.0,2.16
Damian Lillard,Portland Trail Blazers,0.0,PG,25.0,6-3,195.0,4236287.0,1.91
C.J. McCollum,Portland Trail Blazers,3.0,SG,24.0,6-4,200.0,2525160.0,1.93
Luis Montero,Portland Trail Blazers,44.0,SG,23.0,6-7,185.0,525093.0,2.01
Mason Plumlee,Portland Trail Blazers,24.0,C,26.0,6-11,235.0,1415520.0,2.11
Brian Roberts,Portland Trail Blazers,2.0,PG,30.0,6-1,173.0,2854940.0,1.85
Noah Vonleh,Portland Trail Blazers,21.0,PF,20.0,6-9,240.0,2637720.0,2.06
Trevor Booker,Utah Jazz,33.0,PF,28.0,6-8,228.0,4775000.0,2.03
Trey Burke,Utah Jazz,3.0,PG,23.0,6-1,191.0,2658240.0,1.85
Alec Burks,Utah Jazz,10.0,SG,24.0,6-6,214.0,9463484.0,1.98
Dante Exum,Utah Jazz,11.0,PG,20.0,6-6,190.0,3777720.0,1.98
Derrick Favors,Utah Jazz,15.0,PF,24.0,6-10,265.0,12000000.0,2.08
Rudy Gobert,Utah Jazz,27.0,C,23.0,7-1,245.0,1175880.0,2.16
Gordon Hayward,Utah Jazz,20.0,SF,26.0,6-8,226.0,15409570.0,2.03
Rodney Hood,Utah Jazz,5.0,SG,23.0,6-8,206.0,1348440.0,2.03
Joe Ingles,Utah Jazz,2.0,SF,28.0,6-8,226.0,2050000.0,2.03
Chris Johnson,Utah Jazz,23.0,SF,26.0,6-6,206.0,981348.0,1.98
Trey Lyles,Utah Jazz,41.0,PF,20.0,6-10,234.0,2239800.0,2.08
Shelvin Mack,Utah Jazz,8.0,PG,26.0,6-3,203.0,2433333.0,1.91
Raul Neto,Utah Jazz,25.0,PG,24.0,6-1,179.0,900000.0,1.85
Tibor Pleiss,Utah Jazz,21.0,C,26.0,7-3,256.0,2900000.0,2.21
Jeff Withey,Utah Jazz,24.0,C,26.0,7-0,231.0,947276.0,2.13
